pga_stat_name,pga_stat_id,pga_tourn_id,pga_season_id,RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,%,GREENS_HIT,TOTAL_HOLES,RELATIVE_TO_PAR
GIR_Percentage_-_<_75_yards,079,t060,2017,1,2,Luke Donald,50,95.08,58,61,-0.57
GIR_Percentage_-_<_75_yards,079,t060,2017,2,3,Tim Wilkinson,64,94.44,68,72,-0.69
GIR_Percentage_-_<_75_yards,079,t060,2017,3,4,Cameron Tringale,89,93.64,103,110,-0.72
GIR_Percentage_-_<_75_yards,079,t060,2017,4,5,Zac Blair,105,93.50,115,123,-0.58
GIR_Percentage_-_<_75_yards,079,t060,2017,5,6,Steven Alker,69,93.22,55,59,-0.64
GIR_Percentage_-_<_75_yards,079,t060,2017,6,7,Chris Stroud,67,93.02,80,86,-0.64
GIR_Percentage_-_<_75_yards,079,t060,2017,7,8,Lucas Glover,93,92.93,184,198,-0.65
GIR_Percentage_-_<_75_yards,079,t060,2017,8,9,Jim Furyk,54,92.45,49,53,-0.69
GIR_Percentage_-_<_75_yards,079,t060,2017,9,10,Cameron Smith,86,92.40,158,171,-0.67
GIR_Percentage_-_<_75_yards,079,t060,2017,10,12,Pat Perez,93,92.31,168,182,-0.63
GIR_Percentage_-_<_75_yards,079,t060,2017,11,11,Seung-Yul Noh,91,92.22,154,167,-0.63
GIR_Percentage_-_<_75_yards,079,t060,2017,12,13,Ken Duke,77,92.08,93,101,-0.55
GIR_Percentage_-_<_75_yards,079,t060,2017,13,18,Brian Harman,104,92.00,161,175,-0.65
GIR_Percentage_-_<_75_yards,079,t060,2017,14,14,Bryce Molder,74,91.95,80,87,-0.53
GIR_Percentage_-_<_75_yards,079,t060,2017,15,15,Harris English,84,91.91,125,136,-0.66
GIR_Percentage_-_<_75_yards,079,t060,2017,16,16,Mark Hubbard,81,91.80,112,122,-0.66
GIR_Percentage_-_<_75_yards,079,t060,2017,17,17,Louis Oosthuizen,69,91.79,123,134,-0.63
GIR_Percentage_-_<_75_yards,079,t060,2017,T18,20,J.J. Spaun,92,91.33,137,150,-0.61
GIR_Percentage_-_<_75_yards,079,t060,2017,T18,25,Justin Rose,66,91.33,137,150,-0.66
GIR_Percentage_-_<_75_yards,079,t060,2017,20,22,Jordan Spieth,85,91.24,177,194,-0.66
GIR_Percentage_-_<_75_yards,079,t060,2017,21,21,Brian Campbell,55,91.14,72,79,-0.60
GIR_Percentage_-_<_75_yards,079,t060,2017,22,27,Matt Kuchar,95,91.08,143,157,-0.58
GIR_Percentage_-_<_75_yards,079,t060,2017,23,23,Vaughn Taylor,90,90.98,121,133,-0.59
GIR_Percentage_-_<_75_yards,079,t060,2017,24,24,Robert Garrigus,78,90.97,131,144,-0.53
GIR_Percentage_-_<_75_yards,079,t060,2017,25,26,Rory Sabbatini,71,90.83,109,120,-0.66
GIR_Percentage_-_<_75_yards,079,t060,2017,26,28,Spencer Levin,89,90.57,96,106,-0.61
GIR_Percentage_-_<_75_yards,079,t060,2017,27,29,Chad Collins,66,90.53,86,95,-0.66
GIR_Percentage_-_<_75_yards,079,t060,2017,T28,T30,David Hearn,93,90.29,93,103,-0.63
GIR_Percentage_-_<_75_yards,079,t060,2017,T28,T30,Jim Herman,77,90.29,158,175,-0.52
GIR_Percentage_-_<_75_yards,079,t060,2017,30,36,Kyle Stanley,104,90.19,193,214,-0.65
GIR_Percentage_-_<_75_yards,079,t060,2017,31,32,Mark Anderson,54,90.14,64,71,-0.63
GIR_Percentage_-_<_75_yards,079,t060,2017,T32,T33,Boo Weekley,75,90.08,118,131,-0.58
GIR_Percentage_-_<_75_yards,079,t060,2017,T32,T33,Fabián Gómez,61,90.08,109,121,-0.61
GIR_Percentage_-_<_75_yards,079,t060,2017,34,35,Rod Pampling,71,90.06,145,161,-0.54
GIR_Percentage_-_<_75_yards,079,t060,2017,T35,37,William McGirt,89,89.94,143,159,-0.62
GIR_Percentage_-_<_75_yards,079,t060,2017,T35,43,Rickie Fowler,78,89.94,143,159,-0.68
GIR_Percentage_-_<_75_yards,079,t060,2017,37,38,Andres Gonzales,73,89.86,124,138,-0.61
GIR_Percentage_-_<_75_yards,079,t060,2017,38,39,K.J. Choi,72,89.77,79,88,-0.62
GIR_Percentage_-_<_75_yards,079,t060,2017,39,46,Jason Dufner,89,89.74,140,156,-0.60
GIR_Percentage_-_<_75_yards,079,t060,2017,40,40,Geoff Ogilvy,80,89.68,113,126,-0.58
GIR_Percentage_-_<_75_yards,079,t060,2017,41,41,Aaron Baddeley,61,89.62,95,106,-0.54
GIR_Percentage_-_<_75_yards,079,t060,2017,42,42,Derek Fathauer,81,89.57,103,115,-0.65
GIR_Percentage_-_<_75_yards,079,t060,2017,43,44,Morgan Hoffmann,92,89.53,171,191,-0.64
GIR_Percentage_-_<_75_yards,079,t060,2017,44,45,Bud Cauley,92,89.52,188,210,-0.61
GIR_Percentage_-_<_75_yards,079,t060,2017,45,50,Xander Schauffele,96,89.44,161,180,-0.61
GIR_Percentage_-_<_75_yards,079,t060,2017,46,52,Tony Finau,106,89.29,275,308,-0.68
GIR_Percentage_-_<_75_yards,079,t060,2017,47,47,J.B. Holmes,83,89.27,158,177,-0.57
GIR_Percentage_-_<_75_yards,079,t060,2017,48,48,Chez Reavie,98,89.21,124,139,-0.56
GIR_Percentage_-_<_75_yards,079,t060,2017,49,49,Nicholas Lindheim,58,89.04,65,73,-0.71
GIR_Percentage_-_<_75_yards,079,t060,2017,50,51,Dustin Johnson,77,89.01,170,191,-0.64
GIR_Percentage_-_<_75_yards,079,t060,2017,51,53,Robert Streb,98,88.95,169,190,-0.54
GIR_Percentage_-_<_75_yards,079,t060,2017,52,64,Webb Simpson,102,88.89,144,162,-0.66
GIR_Percentage_-_<_75_yards,079,t060,2017,53,54,Bill Haas,92,88.81,127,143,-0.57
GIR_Percentage_-_<_75_yards,079,t060,2017,T54,55,Brandt Snedeker,53,88.78,87,98,-0.54
GIR_Percentage_-_<_75_yards,079,t060,2017,T54,67,Justin Thomas,86,88.78,174,196,-0.70
GIR_Percentage_-_<_75_yards,079,t060,2017,56,56,Troy Merritt,82,88.74,134,151,-0.60
GIR_Percentage_-_<_75_yards,079,t060,2017,57,57,Kelly Kraft,75,88.73,126,142,-0.59
GIR_Percentage_-_<_75_yards,079,t060,2017,58,58,Charles Howell III,86,88.68,141,159,-0.64
GIR_Percentage_-_<_75_yards,079,t060,2017,59,60,Ryan Moore,82,88.64,117,132,-0.78
GIR_Percentage_-_<_75_yards,079,t060,2017,60,61,Billy Horschel,88,88.62,148,167,-0.53
GIR_Percentage_-_<_75_yards,079,t060,2017,61,62,Steven Bowditch,59,88.61,70,79,-0.46
