pga_stat_name,pga_stat_id,pga_tourn_id,pga_season_id,RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,%,GREENS_HIT,TOTAL_HOLES,RELATIVE_TO_PAR
GIR_Percentage_-_75-100_yards,078,t505,2017,T117,T119,Carl Pettersson,63,78.95,30,38,-0.37
GIR_Percentage_-_75-100_yards,078,t505,2017,T117,T119,Daniel Summerhays,100,78.95,45,57,-0.27
GIR_Percentage_-_75-100_yards,078,t505,2017,T117,T121,Dustin Johnson,69,78.95,45,57,-0.33
GIR_Percentage_-_75-100_yards,078,t505,2017,120,92,Cameron Smith,82,78.87,56,71,-0.43
GIR_Percentage_-_75-100_yards,078,t505,2017,T121,118,Nick Taylor,97,78.82,67,85,-0.37
GIR_Percentage_-_75-100_yards,078,t505,2017,T121,129,Morgan Hoffmann,92,78.82,67,85,-0.36
GIR_Percentage_-_75-100_yards,078,t505,2017,T123,T109,Russell Knox,75,78.72,37,47,-0.46
GIR_Percentage_-_75-100_yards,078,t505,2017,T123,123,Byeong Hun An,77,78.72,37,47,-0.24
GIR_Percentage_-_75-100_yards,078,t505,2017,T125,T124,Seung-Yul Noh,91,78.57,55,70,-0.22
GIR_Percentage_-_75-100_yards,078,t505,2017,T125,T124,Bobby Wyatt,49,78.57,22,28,-0.23
GIR_Percentage_-_75-100_yards,078,t505,2017,127,T80,Camilo Villegas,76,78.43,40,51,-0.40
GIR_Percentage_-_75-100_yards,078,t505,2017,128,128,Michael Thompson,60,78.38,29,37,-0.17
GIR_Percentage_-_75-100_yards,078,t505,2017,T129,T130,Greg Owen,47,78.13,25,32,-0.12
GIR_Percentage_-_75-100_yards,078,t505,2017,T129,T130,Harris English,84,78.13,50,64,-0.24
GIR_Percentage_-_75-100_yards,078,t505,2017,131,133,Dominic Bozzelli,69,78.00,39,50,-0.36
GIR_Percentage_-_75-100_yards,078,t505,2017,T132,T134,Ken Duke,77,77.78,56,72,-0.34
GIR_Percentage_-_75-100_yards,078,t505,2017,T132,T134,Chad Collins,66,77.78,35,45,-0.34
GIR_Percentage_-_75-100_yards,078,t505,2017,T132,T134,Hudson Swafford,90,77.78,49,63,-0.37
GIR_Percentage_-_75-100_yards,078,t505,2017,T135,T137,Tag Ridings,67,77.50,31,40,-0.32
