pga_stat_name,pga_stat_id,pga_tourn_id,pga_season_id,RANK_THIS_WEEK,RANK_LAST_WEEK,PLAYER_NAME,ROUNDS,%,GREENS_HIT,#_HOLES,RELATIVE/PAR
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,1,1,Shawn Stefani,72,68.8,33,48,-3.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,2,2,Richy Werenski,81,67.5,27,40,-3.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,3,3,Adam Scott,58,64.9,24,37,-4.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,4,4,Stewart Cink,93,64.8,57,88,-16.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,5,5,Martin Flores,88,63.3,38,60,-2.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,6,6,Harris English,84,63.2,36,57,-6.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,7,7,Bill Haas,92,62.1,41,66,-10.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,8,9,Chez Reavie,98,59.7,37,62,-5.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,9,8,Sergio Garcia,65,59.5,22,37,-5.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,10,10,Cameron Percy,71,59.2,29,49,-3.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,11,11,Cameron Tringale,89,58.5,31,53,+2.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,T12,T12,Brandon Hagy,85,58.0,29,50,-1.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,T12,T12,Matt Every,76,58.0,40,69,-12.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,14,14,Bud Cauley,92,57.9,44,76,-12.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,15,15,David Hearn,93,57.6,34,59,-3.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,T16,T17,Sung Kang,104,57.4,39,68,-10.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,T16,T17,Blayne Barber,77,57.4,31,54,+1.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,18,19,Brian Gay,82,56.9,33,58,-7.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,19,20,Gonzalo Fernandez-Castaño,63,56.8,21,37,-4.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,T20,T21,Sam Saunders,76,56.6,30,53,-6.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,T20,T21,Mark Hubbard,81,56.6,30,53,-5.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,T22,T24,Francesco Molinari,75,56.0,28,50,-6.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,T22,T24,Fabián Gómez,61,56.0,28,50,-5.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,24,26,Justin Rose,66,55.6,25,45,-3.00
GIR_Pct._-_Fairway_Bunker,02434,t060,2017,25,27,Chad Collins,66,55.3,21,38,-5.00
